exit_time,equity,drawdown_pct
2022-01-25 13:45:00,67222.5,32.777499999999996
2022-01-27 13:00:00,54991.25,45.00875
2022-02-11 14:30:00,59901.0,40.099000000000004
2022-03-03 12:30:00,54586.0,45.414
2022-03-03 14:00:00,51325.0,48.675000000000004
2022-04-13 14:00:00,48685.0,51.315
2022-05-04 14:00:00,35745.0,64.255
2022-05-25 13:30:00,32465.0,67.535
2022-06-14 10:30:00,27595.0,72.405
2022-07-01 12:45:00,25745.0,74.25500000000001
2022-07-01 14:30:00,23869.75,76.13025
2022-07-06 15:00:00,19172.25,80.82775
2022-08-23 13:30:00,14302.25,85.69775
2022-09-07 15:15:00,14009.75,85.99025
2022-09-27 11:00:00,11103.5,88.8965
2022-09-29 12:45:00,9256.0,90.744
2022-11-01 13:45:00,8314.75,91.68525
2023-01-11 14:45:00,6327.25,93.67275000000001
2023-02-03 11:15:00,4841.0,95.159
2023-02-03 14:15:00,9256.0,90.744
2023-05-10 14:15:00,8723.5,91.2765
2023-11-02 14:45:00,12744.25,87.25574999999999
2023-11-10 14:15:00,14716.75,85.28325
2023-12-07 12:45:00,13559.25,86.44075
2023-12-26 15:15:00,9622.25,90.37775
2024-02-09 14:30:00,7515.25,92.48475
2024-02-14 14:00:00,6343.5,93.6565
2024-05-03 11:30:00,5226.5,94.7735
2024-06-28 14:00:00,6476.5,93.5235
2024-12-19 15:15:00,6447.75,93.55225
