instrument,ES_GAP_THRESHOLD,ES_PUT_ATR,ES_WING_WIDTH,trades,win_rate,bull_n,bull_wr,bear_n,bear_wr,net_pnl_rs,max_dd_rs,calmar
SENSEX,50,0.65,600,56,0.8929,28,0.8929,28,0.8929,44418.55,-2981.96,14.8958
SENSEX,50,0.65,800,56,0.8929,28,0.8929,28,0.8929,54752.99,-3593.31,15.2375
SENSEX,50,0.65,1000,56,0.8929,28,0.8929,28,0.8929,60461.08,-4046.94,14.9399
SENSEX,50,0.65,400,56,0.875,28,0.8929,28,0.8571,31372.36,-2200.46,14.2572
SENSEX,100,0.65,600,45,0.8667,26,0.8846,19,0.8421,32868.93,-2981.96,11.0226
SENSEX,100,0.65,800,45,0.8667,26,0.8846,19,0.8421,40684.23,-3593.31,11.3222
SENSEX,100,0.65,1000,45,0.8667,26,0.8846,19,0.8421,44250.57,-4046.94,10.9343
SENSEX,100,0.65,400,45,0.8444,26,0.8846,19,0.7895,22628.38,-2200.46,10.2835
SENSEX,150,0.5,800,35,0.8286,19,0.8421,16,0.8125,30892.18,-2989.55,10.3334
SENSEX,150,0.5,1000,35,0.8286,19,0.8421,16,0.8125,35277.5,-3302.97,10.6805
SENSEX,150,0.65,600,35,0.8286,19,0.8421,16,0.8125,22275.89,-2981.96,7.4702
SENSEX,150,0.65,800,35,0.8286,19,0.8421,16,0.8125,28147.91,-3593.31,7.8334
SENSEX,150,0.65,1000,35,0.8286,19,0.8421,16,0.8125,30792.57,-4046.94,7.6089
SENSEX,100,0.5,800,45,0.8222,26,0.8077,19,0.8421,40731.83,-2989.55,13.6247
SENSEX,100,0.5,1000,45,0.8222,26,0.8077,19,0.8421,46685.97,-3302.97,14.1345
SENSEX,50,0.5,800,56,0.8214,28,0.8214,28,0.8214,52722.93,-2989.55,17.6357
SENSEX,50,0.5,1000,56,0.8214,28,0.8214,28,0.8214,59812.52,-3302.97,18.1087
SENSEX,50,0.5,400,56,0.8036,28,0.8214,28,0.7857,30302.16,-1912.17,15.847
SENSEX,50,0.5,600,56,0.8036,28,0.8214,28,0.7857,42095.66,-2533.51,16.6155
SENSEX,100,0.5,400,45,0.8,26,0.8077,19,0.7895,23011.85,-1912.17,12.0344
SENSEX,100,0.5,600,45,0.8,26,0.8077,19,0.7895,31840.66,-2533.51,12.5678
SENSEX,150,0.5,400,35,0.8,19,0.8421,16,0.75,17319.19,-1912.17,9.0573
SENSEX,150,0.5,600,35,0.8,19,0.8421,16,0.75,23657.26,-2533.51,9.3377
SENSEX,150,0.65,400,35,0.8,19,0.8421,16,0.75,15152.26,-2200.46,6.886
SENSEX,100,0.35,800,46,0.6957,26,0.6538,20,0.75,34826.87,-4101.91,8.4904
SENSEX,100,0.35,1000,46,0.6957,26,0.6538,20,0.75,40585.83,-4622.35,8.7803
SENSEX,50,0.35,800,57,0.6842,28,0.6429,29,0.7241,43671.99,-4101.91,10.6467
SENSEX,50,0.35,1000,57,0.6842,28,0.6429,29,0.7241,51042.68,-4622.35,11.0426
SENSEX,100,0.35,400,46,0.6739,26,0.6154,20,0.75,21410.24,-2517.71,8.5039
SENSEX,100,0.35,600,46,0.6739,26,0.6154,20,0.75,29376.31,-3403.81,8.6304
SENSEX,50,0.35,400,57,0.6667,28,0.6071,29,0.7241,26442.97,-2517.71,10.5028
SENSEX,50,0.35,600,57,0.6667,28,0.6071,29,0.7241,36432.6,-3403.81,10.7035
SENSEX,150,0.35,800,36,0.6667,19,0.6316,17,0.7059,23508.64,-4101.91,5.7311
SENSEX,150,0.35,1000,36,0.6667,19,0.6316,17,0.7059,27687.09,-4622.35,5.9898
SENSEX,150,0.35,400,36,0.6389,19,0.5789,17,0.7059,14141.17,-2517.71,5.6167
SENSEX,150,0.35,600,36,0.6389,19,0.5789,17,0.7059,20420.52,-3403.81,5.9993
