ts,ltp,direction,score,signal_count,oi_quadrant,futures_basis,pcr_signal,oi_velocity,strike_defense,fii_signature,call_wall,put_wall,pcr_live,notes,trade_date,pcr,fii_fut,fii_cash
2026-03-27 00:00:00,52237.0,0,-0.156,2,1,-1,0,0,0,0,,,0.0,short_cover p=+50 oi=-34 | backwardation fut=52237 spot=52159 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-03-27,1.0,0,0
2026-03-30 00:00:00,50275.0,-1,-0.3091,2,1,-1,0,0,0,0,,,0.0,short_cover p=+4 oi=-37 | backwardation fut=50275 spot=50200 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-03-30,1.0,0,0
2026-04-01 00:00:00,51780.0,0,-0.2237,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+47 oi=+9 | backwardation fut=51780 spot=51702 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-01,1.0,0,0
2026-04-02 00:00:00,51910.2,-1,-0.5508,2,-1,-1,0,0,0,0,,,0.0,short_buildup p=-35 oi=+8 | backwardation fut=51910 spot=51832 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-02,1.0,0,0
2026-04-06 00:00:00,52885.4,-1,-0.697,2,-1,-1,0,0,0,0,,,0.0,long_unwind p=-248 oi=-26 | backwardation fut=52885 spot=52806 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-06,1.0,0,0
2026-04-07 00:00:00,52849.0,-1,-0.7118,2,-1,-1,0,0,0,0,,,0.0,short_buildup p=-115 oi=+5 | backwardation fut=52849 spot=52770 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-07,1.0,0,0
2026-04-08 00:00:00,55990.0,0,-0.0985,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+73 oi=+125 | backwardation fut=55990 spot=55906 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-08,1.0,0,0
2026-04-09 00:00:00,55059.8,-1,-0.5199,2,-1,-1,0,0,0,0,,,0.0,long_unwind p=-75 oi=-14 | backwardation fut=55060 spot=54977 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-09,1.0,0,0
2026-04-10 00:00:00,56105.6,0,-0.1872,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+25 oi=+19 | backwardation fut=56106 spot=56021 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-10,1.0,0,0
2026-04-13 00:00:00,55748.0,0,0.0045,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+96 oi=+65 | backwardation fut=55748 spot=55664 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-13,1.0,0,0
2026-04-15 00:00:00,56380.0,0,0.1598,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+133 oi=+65 | backwardation fut=56380 spot=56295 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-15,1.0,0,0
2026-04-16 00:00:00,56145.0,-1,-0.5182,2,-1,-1,0,0,0,0,,,0.0,long_unwind p=-30 oi=-3 | backwardation fut=56145 spot=56061 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-16,1.0,0,0
2026-04-17 00:00:00,56705.0,-1,-0.7766,2,-1,-1,0,0,0,0,,,0.0,short_buildup p=-108 oi=+13 | backwardation fut=56705 spot=56620 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-17,1.0,0,0
2026-04-20 00:00:00,56530.0,-1,-0.7643,2,-1,-1,0,0,0,0,,,0.0,short_buildup p=-130 oi=+12 | backwardation fut=56530 spot=56445 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-20,1.0,0,0
2026-04-21 00:00:00,57375.0,0,-0.194,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+33 oi=+11 | backwardation fut=57375 spot=57289 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-21,1.0,0,0
2026-04-22 00:00:00,57165.0,-1,-0.7128,2,-1,-1,0,0,0,0,,,0.0,short_buildup p=-39 oi=+14 | backwardation fut=57165 spot=57079 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-22,1.0,0,0
2026-04-23 00:00:00,56360.0,-1,-0.3633,2,1,-1,0,0,0,0,,,0.0,short_cover p=+26 oi=-4 | backwardation fut=56360 spot=56275 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-23,1.0,0,0
2026-04-24 00:00:00,56172.2,-1,-0.4894,2,-1,-1,0,0,0,0,,,0.0,long_unwind p=-50 oi=+0 | backwardation fut=56172 spot=56088 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-24,1.0,0,0
2026-04-27 00:00:00,56390.0,0,-0.1637,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+87 oi=+10 | backwardation fut=56390 spot=56305 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-27,1.0,0,0
2026-04-28 00:00:00,55396.6,-1,-0.4674,2,-1,-1,0,0,0,0,,,0.0,long_unwind p=-5 oi=-28 | backwardation fut=55397 spot=55314 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-28,1.0,0,0
2026-04-29 00:00:00,55560.2,0,0.1598,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+139 oi=+39 | backwardation fut=55560 spot=55477 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-29,1.0,0,0
2026-04-30 00:00:00,55300.0,0,-0.0819,2,1,-1,0,0,0,0,,,0.0,long_buildup p=+90 oi=+20 | backwardation fut=55300 spot=55217 basis=-0.29% | neutral_pcr pcr=1.00 ma=1.00 | no velocity data | no walls | no fii signals,2026-04-30,1.0,0,0
